datestamp,studentid,Q001,Q002,Q003,Q004,Q005,Q006,Q007[SQ001_SQ001],Q007[SQ001_SQ002],Q007[SQ001_SQ003],Q007[SQ002_SQ001],Q007[SQ002_SQ002],Q007[SQ002_SQ003],Q007[SQ003_SQ001],Q007[SQ003_SQ002],Q007[SQ003_SQ003],Q008,Q009,Q010,Q011,Q012
2022-10-04 15:42:07,1039970580,B,A,A,B,C,B,,1,,,1,,1,,,B,99,A,A,99
2022-10-04 15:44:33,1013464812,99,C,A,B,A,,1,,,1,,,1,,,A,A,A,A,A
2022-10-04 15:47:06,1025667609,B,C,B,A,A,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-04 15:50:04,1039970422,B,B,A,D,C,A,1,,,1,,,1,,,A,99,A,D,A
2022-10-04 15:52:33,1039970504,B,C,B,C,A,B,,1,,1,,,,1,,A,A,A,A,A
2022-10-04 15:54:45,1023531172,B,C,D,B,C,A,1,,,1,,,1,,,A,B,B,99,99
2022-10-04 15:56:35,1041203321,B,C,A,A,A,A,1,,,1,,,1,,,A,B,A,A,A
2022-10-04 15:58:30,1041204357,B,B,A,B,B,B,1,,,1,,,1,,,A,B,A,A,A
2022-10-04 16:00:22,1157213410,A,A,A,A,C,B,1,,,1,,,1,,,A,B,A,A,A
2022-10-04 16:02:29,1039970610,B,C,A,A,B,A,1,,,1,,,1,,,A,B,99,99,99
2022-10-04 16:04:24,1039311321,B,B,A,B,C,B,1,,,1,,,1,,,B,B,A,A,A
2022-10-04 17:09:09,1020122330,99,C,B,B,B,B,1,,,1,,,1,,,A,B,99,99,99
2022-10-04 17:10:31,1041353186,B,C,A,A,A,B,1,,,1,,,1,,,A,A,A,A,A
2022-10-04 17:12:17,1018256993,B,B,C,A,A,B,,1,,1,,,,1,,A,B,A,B,A
2022-10-04 17:14:00,1038817612,B,D,B,A,A,B,,1,,1,,,,1,,A,99,99,99,99
2022-10-04 17:16:23,1039970566,B,A,A,C,A,A,,1,,1,,,,1,,A,B,A,D,A
2022-10-04 17:18:02,1039970569,99,B,A,B,B,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-04 17:19:54,1057096543,B,C,A,A,B,A,1,,,1,,,1,,,A,A,99,99,99
2022-10-04 17:21:53,1039970508,99,99,99,99,C,,1,,,1,,,1,,,A,99,99,99,99
2022-10-04 17:23:23,1023644937,99,A,B,B,C,B,1,,,1,,,1,,,B,B,A,A,A
2022-10-04 17:25:00,1039970576,B,C,C,B,B,B,1,,,1,,,1,,,A,B,C,99,99
2022-10-04 17:27:34,1039970470,B,C,A,C,B,A,,1,,,1,,1,,,A,B,A,D,A
2022-10-04 17:29:22,1039970517,C,B,A,C,C,B,1,,,,1,,,1,,A,B,A,A,B
2022-10-04 17:31:01,1036952385,C,B,A,B,C,B,1,,,1,,,1,,,A,99,A,A,99
2022-10-04 17:33:17,,A,B,B,B,99,B,1,,,1,,,1,,,A,B,A,A,A
2022-10-04 17:44:31,1039970631,C,B,A,D,B,B,1,,,1,,,1,,,B,B,A,D,99
2022-10-04 17:46:39,1105384635,A,C,D,B,C,A,,1,,1,,,,1,,A,B,A,D,A
2022-10-04 17:48:28,1039970555,B,C,A,A,C,B,1,,,1,,,1,,,A,A,A,D,A
2022-10-04 17:53:03,1031155774,B,C,C,B,A,A,1,,,1,,,1,,,A,B,A,A,A
2022-10-04 17:58:17,1039970485,B,C,A,A,B,A,,,1,,,1,,,1,A,A,A,D,B
2022-10-04 18:01:40,1040879960,B,A,A,A,B,A,1,,,1,,,1,,,A,A,A,B,A
2022-10-04 18:03:09,1039970396,B,C,A,A,A,B,1,,,1,,,1,,,A,B,A,D,A
2022-10-04 18:04:31,1039970413,B,B,B,C,C,B,1,,,1,,,1,,,A,A,A,A,A
2022-10-04 18:06:10,1069492918,B,C,A,A,C,A,1,,,1,,,1,,,A,A,A,D,A
2022-10-04 18:07:42,1033493951,B,B,B,B,A,A,1,,,1,,,1,,,A,A,A,D,A
2022-10-04 18:13:42,1039970503,B,B,D,B,C,B,1,,,1,,,1,,,A,A,A,B,A
2022-10-04 18:15:24,1041203921,B,A,B,A,C,B,,1,,1,,,,1,,A,A,A,99,99
2022-10-04 18:17:44,1041204030,B,C,D,C,C,B,1,,,1,,,1,,,A,B,A,A,A
2022-10-04 18:19:58,1039970455,B,B,B,B,B,B,,,1,,,1,,,1,A,A,99,99,99
2022-10-04 18:21:23,1039970544,A,A,B,C,C,A,1,,,1,,,1,,,A,B,A,C,A
2022-10-04 18:22:55,1039970410,B,C,C,A,B,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-04 18:24:47,1036948683,B,C,B,A,A,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-04 18:26:38,1111,C,D,A,C,C,B,,,1,,,1,,,1,A,99,C,99,99
2022-10-04 18:30:05,2222,B,C,C,C,C,B,,1,,,1,,1,1,,A,B,A,B,A
2022-10-05 17:44:35,1041203965,A,A,D,C,B,B,1,,,,1,,,1,,A,B,B,B,A
2022-10-05 18:06:32,76216848,B,A,D,B,C,B,1,,,,1,,,1,,B,99,A,D,B
2022-10-05 18:08:39,1109925320,B,C,A,B,C,B,1,,,1,,,1,,,A,B,A,D,A
2022-10-05 18:10:51,1018252636,B,D,B,A,B,A,1,,,1,,,1,,,A,A,A,C,A
2022-10-05 18:15:37,1036840520,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-05 18:17:45,1040883525,99,D,A,C,C,B,1,,,1,,,1,,,A,99,,99,99
2022-10-05 18:19:40,1040884397,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-05 18:22:22,1023643625,99,D,A,C,C,B,1,,,1,,,1,,,A,A,A,D,A
2022-10-05 18:24:13,1017230972,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-05 18:26:13,1041233884,99,B,C,D,99,99,,1,,1,,,,1,,B,99,B,99,99
2022-10-05 18:28:09,1041233416,99,B,99,B,99,99,,,1,,,1,,,1,B,99,99,99,99
2022-10-05 18:30:40,75854940306,99,B,99,B,99,99,,1,,1,,,,1,,B,99,99,99,99
2022-10-05 18:32:37,1037238088,A,A,99,99,99,99,1,,,1,,,1,,,A,99,A,99,99
2022-10-05 18:35:10,3514373,B,C,C,A,A,A,,1,,1,,,,1,,99,99,A,B,A
2022-10-05 18:36:40,837925124062013,B,B,B,C,C,B,1,,,1,,,1,,,A,99,B,99,99
2022-10-05 18:38:07,1041233092,B,A,C,B,C,B,1,,,1,,,1,,,A,99,A,C,99
2022-10-05 18:39:52,1041233294,B,C,A,A,C,A,,1,,1,,,,1,,A,A,A,D,A
2022-10-05 18:49:08,1157213432,B,A,A,A,B,B,1,,,1,,,1,,,A,A,A,A,A
2022-10-05 18:51:20,1041233097,A,C,B,A,C,A,,1,,1,,,,1,,A,A,A,B,A
2022-10-05 18:56:12,1018258006,B,B,B,D,C,B,,1,,,1,,,1,,A,B,A,D,A
2022-10-05 18:57:57,1041233264,B,A,C,A,B,B,,1,,1,,,,1,,A,A,A,A,B
2022-10-05 19:00:30,1041233045,B,C,A,A,B,A,,1,,1,,,,1,,A,B,A,D,A
2022-10-05 19:03:26,1041233025,B,C,A,B,B,B,1,,,1,,,1,,,A,A,A,D,A
2022-10-05 19:08:26,1036951110,B,B,D,B,C,B,1,,,1,,,1,,,A,B,A,B,B
2022-10-05 19:10:31,1041232569,B,C,A,A,A,A,1,,,1,,,1,,,A,A,A,D,A
2022-10-05 19:12:04,1011222275,B,C,D,B,B,A,1,,,1,,,1,,,A,A,A,B,A
2022-10-05 19:13:30,1157213007,A,C,A,A,B,B,1,,,1,,,1,,,A,A,A,C,A
2022-10-05 19:14:51,1011211424,B,C,B,B,B,A,1,,,1,,,1,,,B,A,A,D,A
2022-10-05 19:16:44,1041232724,B,C,A,D,A,A,,1,,1,,,,1,,A,B,A,B,A
2022-10-05 19:18:32,1041232095,B,C,A,A,A,A,1,,,1,,,1,,,A,A,A,B,A
2022-10-05 19:20:53,1013349979,B,B,B,B,A,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-05 19:23:00,1127958030,B,A,B,A,A,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-05 19:24:33,1041232082,B,C,B,A,B,B,1,,,1,,,1,,,A,B,A,C,B
2022-10-05 19:25:56,1041232272,B,C,D,A,C,A,1,,,1,,,1,,,A,B,A,C,A
2022-10-05 19:27:20,1041232112,B,B,A,A,A,A,1,,,1,,,1,,,A,B,A,A,A
2022-10-06 09:52:10,8888888888,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-06 10:08:04,1036946858,B,C,C,A,A,B,,1,,1,,,,1,,A,B,A,A,A
2022-10-06 10:09:39,1041232365,B,B,C,A,B,B,1,,,1,,,1,,,A,B,A,D,A
2022-10-06 10:11:31,1036946520,B,A,A,B,A,B,1,,,1,,,1,,,A,A,A,B,B
2022-10-06 10:13:39,1041232266,B,A,A,A,B,A,1,,,1,,,1,,,A,A,A,B,A
2022-10-06 10:15:34,1041232590,B,C,A,A,A,A,1,,,1,,,1,,,A,A,A,B,A
2022-10-18 17:31:57,1067905662,A,A,A,A,99,99,,,1,,,1,,,1,A,99,99,99,99
2022-10-18 17:38:55,1129685273,B,A,A,A,99,A,,,1,,,1,,,1,A,99,A,A,99
2022-10-18 17:43:23,1037482790,B,99,99,A,99,B,,,1,,,1,,,1,A,99,A,99,99
2022-10-18 17:46:52,1037483917,99,99,99,99,,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-18 17:54:47,1037483520,C,D,C,99,99,B,,,1,,,1,,,1,99,99,B,99,99
2022-10-18 17:58:13,1037481230,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-18 18:04:18,1138086219,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-18 18:07:59,1037480598,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-18 18:12:23,1037482836,99,99,99,99,99,99,,,1,,,1,,,1,99,99,B,99,99
2022-10-18 18:17:47,1037483274,C,A,99,99,99,99,,,1,,,1,,,1,A,99,99,99,99
2022-10-18 18:23:58,1037482286,B,A,A,A,99,B,,,1,,,1,,,1,A,99,A,A,99
2022-10-18 18:33:00,1041265835,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-18 18:39:33,1037481526,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-19 10:21:54,1037482339,D,A,B,A,99,B,,,1,,,1,,,1,A,99,99,99,99
2022-10-19 10:46:05,345671299,99,99,99,99,99,99,,,1,,,1,,,1,A,99,99,99,99
2022-10-19 10:56:07,1378002,99,99,B,A,99,B,,,1,,,1,,,1,A,99,99,99,99
2022-10-19 11:12:00,1148204813,B,A,A,A,99,A,,,1,,,1,,,1,A,99,A,A,99
2022-10-19 11:19:35,1037484176,99,99,99,99,99,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-19 11:27:37,1037482772,A,A,D,A,A,99,,,1,,,1,,,1,99,99,99,99,99
2022-10-19 11:32:49,1037482340,A,A,D,B,B,A,,,1,,,1,,,1,A,99,A,99,99
2022-10-19 11:38:45,345671298,A,A,D,A,A,A,1,,,1,,,1,,,A,99,A,D,99
2022-10-19 11:43:51,1013464724,99,B,A,B,B,A,1,,,1,,,1,,,A,99,99,99,99
2022-10-19 11:48:16,1033375212,A,99,99,B,B,B,,,1,,,1,,,1,A,99,B,99,99
2022-10-19 11:53:51,1037483149,A,A,A,B,B,B,,,1,,,1,,,1,A,99,A,99,99
2022-10-19 11:59:55,1037482767,C,A,B,A,A,B,,,1,,,1,,,1,A,99,A,B,99
2022-10-19 12:09:04,1037483068,99,B,A,C,B,A,,1,,1,,1,1,,1,99,99,99,99,99
2022-10-19 12:13:18,1129685354,C,C,C,C,99,B,1,,,,1,,,1,,B,99,99,99,99
2022-10-19 12:29:44,1377993,B,99,99,C,C,B,1,,,1,,,1,,,A,99,B,A,B
2022-10-19 12:32:28,1037483802,B,C,B,A,A,A,1,,,1,,,1,,,A,B,B,A,A
2022-10-19 12:34:22,1037483801,B,C,B,A,A,A,1,,,1,,,1,,,A,B,B,A,A
2022-10-19 12:36:42,1129685611,B,C,B,A,A,A,1,,,1,,,1,,,A,B,B,D,A
2022-10-19 12:39:14,1067170320,B,C,B,A,A,A,1,,,1,,,1,,,B,B,B,D,A
2022-10-19 12:41:46,1037483611,B,C,B,B,A,A,1,,,1,,,1,,,A,B,A,D,A
2022-10-19 12:49:04,1037975833,B,C,A,A,B,B,1,,,1,,,1,,,A,A,A,D,A
2022-10-19 13:21:45,1057096501,B,A,D,A,A,B,1,,,1,,,1,,,B,B,B,D,B
2022-10-19 12:55:40,1037483578,B,C,B,B,C,A,1,,,1,,,,1,,A,B,A,D,B
2022-10-19 13:24:48,1037976085,99,C,A,A,C,A,1,,,1,,,1,,,A,A,A,D,A
2022-10-19 13:24:24,1037483371,B,C,B,B,A,A,1,,,1,,,1,,,A,B,A,D,B
2022-10-19 13:26:43,1377999,B,C,B,B,A,A,,1,,1,,,,1,,A,B,A,D,B
2022-10-19 13:29:59,1129685157,99,99,99,C,C,B,,,1,,,1,,,1,A,99,99,99,99
2022-10-19 13:31:55,1148142998,B,C,B,A,A,A,1,,,1,,,1,,,A,B,B,D,A
2022-10-19 13:33:58,1641268842,B,C,B,B,B,B,1,,,1,,,1,,,B,B,A,D,B
2022-10-19 13:36:03,1138086922,B,C,B,C,C,B,,,1,,,1,,,1,A,B,C,99,99
2022-10-19 13:40:07,1377994,B,B,A,C,C,B,,,1,,,1,,,1,B,99,99,99,99
2022-10-19 13:41:41,1378000,B,C,B,C,C,B,,,1,,,1,,,1,B,B,C,99,99
2022-10-19 13:43:40,1037482545,B,C,B,A,A,A,1,,,1,,,1,,,A,B,B,99,99
2022-10-19 13:45:20,1037483143,B,A,B,C,C,B,1,,,1,,,1,,,A,B,B,A,B
2022-10-19 13:47:42,1045513667,B,C,B,A,B,A,1,,,1,,,1,,,A,B,B,D,B
2022-10-19 13:49:31,1129685389,B,99,A,B,B,B,,1,,,1,,,1,,A,B,99,99,99
2022-10-19 13:51:08,1129685267,B,C,B,B,C,B,,,1,,,1,,,1,A,99,99,99,99
2022-10-19 13:53:15,1037483219,B,99,99,C,C,B,1,,,1,,,1,,,A,B,B,A,B
2022-10-19 15:01:16,1035771217,99,C,A,A,A,A,1,,,1,,,1,,,A,B,A,D,B
2022-10-19 15:06:14,1036224676,D,C,B,A,99,99,,,1,,,1,,,1,99,99,,D,99
2022-10-19 15:11:13,1037974490,B,C,B,B,99,B,1,,,1,,,1,,,99,99,99,99,99
2022-10-19 17:51:53,1040878458,B,A,A,A,B,B,1,,,1,,,1,,,A,B,A,A,A
2022-10-19 17:56:14,1234567891,B,C,A,A,B,B,1,,,1,,,1,,,A,99,A,D,B
2022-10-19 17:59:22,1023645553,B,A,A,A,B,B,1,,,1,,,1,,,A,A,A,D,B
2022-10-19 18:12:30,1040576616,B,C,C,A,B,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-19 18:17:38,1037974673,A,C,B,A,B,B,1,,,1,,,1,,,A,99,A,D,B
2022-10-19 18:26:49,1044532263,B,C,D,A,B,A,1,,,1,,,1,,,A,A,A,D,A
2022-10-19 18:31:09,1037975422,A,C,B,A,B,B,,,1,,,1,,,1,A,B,A,C,B
2022-10-19 18:35:27,1037976213,B,B,A,A,B,B,1,,,1,,,1,,,A,B,A,D,B
2022-10-19 18:39:57,1020316951,99,99,99,A,C,A,,1,,,1,,,1,,B,B,A,D,99
2022-10-19 18:43:14,1035480375,A,C,B,A,A,B,1,,,1,,,1,,,A,B,A,D,B
2022-10-19 18:48:17,1040882512,B,C,B,A,B,B,1,,,1,,,1,,,A,B,A,A,A
2022-10-20 14:08:30,1037976030,B,C,A,A,B,A,,1,,1,,,,1,,A,B,A,C,A
2022-10-20 14:12:33,1037975433,C,B,A,A,C,B,1,,,1,,,1,,,A,B,A,D,B
2022-10-20 14:16:37,1037975993,B,C,A,A,C,B,1,,,1,,,1,,,A,B,A,C,A
2022-10-20 14:22:42,1036224882,B,C,D,C,99,A,1,,,1,,,1,,,A,A,A,B,A
2022-10-20 14:26:02,1037975968,B,C,A,A,B,B,1,,,1,,,1,,,A,A,A,C,A
2022-10-20 14:30:49,1054564367,B,C,C,A,99,A,1,,,1,,,1,,,A,B,A,D,A
2022-10-20 16:01:20,1037975952,B,B,A,A,A,A,1,,,1,,,1,,,A,A,A,C,A
2022-10-20 17:38:58,1041352935,B,99,D,A,A,A,1,,,1,,,1,,,A,99,A,D,A
2022-10-20 17:46:01,1037975970,A,A,D,A,B,B,1,,,1,,,1,,,A,A,A,C,A
2022-10-20 17:49:08,1034923119,B,C,D,A,A,A,1,,,1,,,1,,,A,A,A,D,A
2022-10-20 17:59:12,1036225018,A,B,C,A,C,A,1,,,1,,,1,,,A,B,A,D,A
2022-10-20 18:04:34,1032026675,B,B,D,A,B,A,1,,,1,,,1,,,A,A,A,B,A
2022-10-20 18:11:09,1040883844,B,A,D,B,C,A,1,,,1,,,1,,,A,A,A,C,A
2022-10-20 18:15:03,1048020052,B,B,A,A,C,A,,1,,1,,,,1,,A,B,A,C,A
2022-10-20 18:25:28,1035330448,C,C,B,A,B,A,1,,,1,,,1,,,B,A,A,C,A
2022-10-20 18:29:27,1018257390,B,C,B,A,A,A,1,,,1,,,1,,,A,99,A,D,99
2022-10-20 18:41:15,7620470254,B,A,D,B,A,B,,1,,1,,,,1,,A,99,A,C,A
2022-10-20 18:44:18,1033496696,99,99,A,A,99,,1,,,1,,,1,,,A,B,A,99,99
2022-10-20 19:06:41,1042734424,B,C,D,A,A,A,1,,,1,,,1,,,A,A,A,D,A
2022-10-20 19:12:35,1042734477,B,B,B,C,99,B,,1,,,1,,1,,,A,B,B,D,A
2022-10-20 19:16:15,1079292656,B,C,A,A,B,99,1,,,1,,,1,,,A,B,A,C,B
2022-10-20 19:24:47,1042734275,A,C,D,A,99,99,1,,,1,,,1,,,B,B,A,B,B
2022-10-20 19:29:38,1128604805,C,A,C,A,99,99,,1,,,1,,1,,,A,99,A,B,99
2022-10-20 19:33:05,1077462570,B,D,B,A,B,B,1,,,1,,,1,,,A,A,A,C,A
2022-10-20 19:37:01,1200714591,99,C,A,A,99,B,1,,,1,,,1,,,A,99,A,99,99
2022-10-20 19:40:42,1148203819,B,99,99,B,99,99,,1,,,1,,,1,,A,99,A,99,99
2022-10-20 19:45:20,1042734237,B,A,C,A,99,B,,1,,,1,,1,,,A,99,A,C,99
2022-10-20 19:50:36,1128804513,A,B,C,A,99,99,1,,,1,,,1,,,A,A,A,99,99
2022-10-20 19:55:40,3458797444,B,99,A,A,99,99,,1,,,1,,1,,,A,99,A,99,99
2022-10-20 19:59:59,1079291951,A,C,A,A,99,99,1,,,1,,,1,,,A,99,B,C,B
2022-10-20 20:06:44,1148203822,A,C,B,A,C,B,,1,,1,,,,1,,B,A,A,C,A
2022-10-20 20:09:59,1029301390,B,A,C,99,99,B,,,1,,,1,,,1,B,B,A,99,99
2022-10-20 20:13:35,1079292530,B,99,99,B,99,99,,1,,,1,,,1,,A,,C,99,99
2022-10-20 20:16:46,1148203601,B,99,99,B,99,B,,1,,,1,,1,,,A,B,C,99,99
2022-10-20 20:24:34,1042734345,B,D,C,A,C,B,,1,,1,,,,1,,A,A,A,B,B
2022-10-20 20:27:46,1042734443,B,C,D,B,99,B,1,,,1,,,1,,,A,B,A,99,99
2022-10-20 20:30:55,1042734265,B,A,B,B,C,B,,,1,,1,,,,1,A,B,A,99,99
2022-10-20 20:34:40,1025769445,C,B,B,A,99,A,1,,,1,,,1,,,A,B,A,D,B
2022-10-20 20:38:20,1042734086,A,B,A,B,99,B,,1,,,,,1,1,,A,99,A,B,99
2022-10-20 20:42:10,1042734270,A,C,99,A,99,99,1,,,,,1,1,,,A,99,A,D,B
2022-10-20 20:47:08,1039653697,B,B,B,A,99,99,,1,,,1,,1,,,A,99,A,B,99
2022-10-20 20:49:42,1045511538,C,A,B,A,99,B,1,,,1,,,1,,,A,99,A,A,99
2022-10-27 14:28:44,1018257134,B,A,B,B,B,A,1,,,1,,,1,,,A,A,A,D,A
2022-10-27 14:33:01,1036261136,B,C,A,B,B,A,1,,,1,,,1,,,A,A,A,C,A
2022-10-27 14:34:32,1036954725,B,C,B,A,B,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-27 14:36:21,1157213716,B,B,C,B,B,A,,1,,,1,,1,,,A,A,A,D,A
2022-10-27 14:38:05,1157213640,B,B,B,A,B,A,,1,,,1,,,1,,A,B,A,A,A
2022-10-27 14:43:22,1036261214,B,C,B,A,B,B,1,,,1,,,1,,,A,A,A,C,B
2022-10-27 14:48:48,1040883168,B,C,B,A,C,A,1,,,1,,,1,,,A,A,A,B,A
2022-10-27 14:50:43,1033657711,D,A,B,B,99,B,,1,,1,,,,1,,A,B,A,D,A
2022-10-27 14:52:48,1036261447,B,B,D,B,C,B,,1,,,1,,,1,,B,B,A,C,A
2022-10-27 14:55:05,1041328413,B,C,A,A,C,B,1,,,1,,,1,,,A,B,A,B,A
2022-10-27 14:56:41,1036954668,A,C,A,A,B,A,,1,,1,,,,1,,A,B,A,B,A
2022-10-27 14:58:30,1036954418,99,A,B,C,C,B,1,,,1,,,1,,,A,A,A,B,A
2022-10-27 15:00:14,1041328490,B,A,B,B,B,A,,1,,1,,,,1,,A,B,A,A,A
2022-10-27 15:01:32,1040882781,B,C,C,B,C,A,1,,,1,,,1,,,A,B,A,A,A
2022-10-27 15:03:59,1040882350,99,A,C,B,B,A,,1,,1,,,,1,,A,B,A,C,A
2022-10-27 15:05:29,76264630653,B,C,B,A,C,A,1,,,1,,,1,,,B,A,A,B,A
2022-10-27 15:06:56,76264477938,B,C,B,B,A,A,1,,,1,,,1,,,B,A,A,B,A
2022-10-27 15:08:40,1041328485,C,A,B,C,C,B,,,1,,,1,,,1,B,B,B,A,B
2022-10-27 15:11:21,1033654883,B,A,B,B,B,A,,1,,1,,,,1,,A,A,A,A,A
2022-10-27 15:13:26,1127056377,B,A,D,A,C,A,,1,,1,,,,1,,A,B,A,C,A
2022-10-27 15:15:14,1040882842,B,C,A,A,B,99,,,1,,,1,,,1,99,99,A,A,A
2022-10-27 15:17:31,1035917989,B,A,D,B,C,A,1,,,1,,,1,,,A,B,A,D,B
2022-10-27 15:18:53,1201234761,B,C,C,A,A,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-27 15:21:11,1038414106,B,C,C,A,B,B,1,,,1,,,1,,,B,A,A,B,A
2022-10-27 15:22:55,18937472,99,A,C,A,C,A,1,,,1,,,1,,,A,99,A,A,A
2022-10-27 15:24:27,1234657789,B,B,B,A,C,A,1,,,1,,,1,,,A,B,A,A,A
2022-10-27 15:26:12,876543210,B,C,C,A,B,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-28 10:57:20,1036363452,B,C,C,A,A,A,1,,,1,,,1,,,A,A,A,A,A
2022-10-28 10:58:43,1036363214,B,C,B,A,B,A,1,,,1,,,1,,,A,B,A,A,A
2022-10-28 11:02:33,1036363421,B,C,A,A,B,A,1,,,1,,,1,,,A,B,A,A,A
2022-10-28 11:03:48,1036363095,B,C,A,A,B,A,1,,,1,,,1,,,A,A,A,A,B
2022-10-28 11:05:41,1025666940,B,C,A,A,B,A,1,,,1,,,1,,,A,B,A,D,A
2022-10-28 11:07:34,1036363207,B,C,A,B,A,B,,,1,,,1,,,1,A,B,A,D,A
2022-10-28 11:08:44,1036363463,B,C,B,B,A,A,1,,,1,,,1,,,A,B,A,A,A
2022-10-28 14:40:16,1036363466,B,C,99,B,99,99,,,1,,,1,,,1,A,A,A,99,A
