datestamp,studentid,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020
2022-10-20 13:21:32,1111,C,D,A,C,A,A,A,C,B,D,C,C,C,D,D,C,D,,C,B
2022-10-20 13:25:33,2222,A,C,B,A,B,A,A,A,A,C,C,B,A,C,A,A,A,B,C,C
2022-10-24 12:57:54,1377992,99,99,99,C,C,C,C,99,C,A,A,C,C,A,A,B,D,A,A,A
2022-10-24 13:24:56,1377993,99,C,B,C,B,C,D,C,C,A,A,C,A,D,A,B,A,B,D,D
2022-10-24 13:31:04,1377994,A,B,B,C,B,C,D,C,C,A,A,C,A,D,A,B,A,D,D,D
2022-10-24 13:14:48,1377999,A,B,B,C,C,B,C,C,D,A,A,A,C,A,B,B,D,A,D,D
2022-10-24 13:17:28,1378000,C,C,B,A,B,B,C,B,D,A,A,A,C,A,B,B,C,A,D,D
2022-10-19 12:00:54,1378002,B,A,99,C,B,99,99,B,A,C,99,D,C,A,B,C,A,D,B,D
2022-10-01 12:51:26,3514373,B,B,B,B,B,A,D,C,B,C,A,B,C,C,A,D,99,99,99,99
2022-10-24 12:19:24,18937472,B,D,,B,B,B,C,C,D,D,A,B,A,B,A,C,C,C,A,D
2022-10-20 12:11:12,76216848,A,A,B,A,A,A,A,A,A,A,A,B,A,C,A,A,A,A,,B
2022-10-19 12:10:46,345671298,C,C,99,B,C,D,C,A,C,B,C,A,D,A,D,C,C,B,A,B
2022-10-19 12:06:34,345671299,C,C,99,B,C,99,C,A,99,99,99,99,99,99,D,D,99,99,A,B
2022-10-24 12:17:27,876543210,B,C,B,B,B,B,D,B,D,B,A,B,B,C,A,B,D,A,B,A
2022-10-01 11:18:49,1011211424,B,C,B,B,B,D,C,A,C,D,A,D,C,D,C,B,D,C,D,B
2022-10-01 11:24:09,1011222275,A,C,B,D,B,C,C,B,D,B,A,C,B,C,A,B,C,B,B,B
2022-10-01 11:46:07,1013349979,D,D,B,D,C,C,C,C,C,A,D,A,C,B,A,A,D,C,B,B
2022-10-19 11:50:20,1013464724,B,C,B,B,B,B,C,C,A,A,A,B,B,B,A,C,C,B,A,D
2022-10-18 17:43:38,1013464812,B,C,B,B,B,C,D,C,D,B,A,C,A,C,A,B,D,B,D,C
2022-10-01 12:35:13,1017230972,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
2022-10-20 12:35:50,1018252636,D,B,B,B,A,A,A,C,D,C,A,B,C,A,C,A,A,C,D,A
2022-10-18 17:46:02,1018256993,D,C,B,B,B,B,D,C,D,C,A,B,A,C,A,C,D,B,C,B
2022-10-24 12:23:41,1018257134,D,C,B,B,B,B,A,C,A,C,C,C,B,C,A,C,D,D,A,A
2022-10-18 12:19:09,1018257390,D,C,B,A,B,D,B,A,D,A,B,A,B,A,99,99,99,99,99,99
2022-10-01 10:51:12,1018258006,B,B,B,A,B,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B
2022-10-18 17:59:02,1020122330,B,A,B,D,A,A,A,B,A,B,A,B,B,A,B,A,B,A,B,A
2022-10-11 11:39:43,1020316951,B,C,B,C,C,A,C,A,D,A,A,A,A,A,A,A,A,A,A,B
2022-10-18 17:55:02,1023531172,B,D,B,D,A,A,A,B,A,B,A,B,B,A,B,A,B,A,B,A
2022-10-01 12:31:55,1023643625,A,D,A,C,C,D,D,A,C,D,D,A,C,D,D,D,A,D,A,C
2022-10-18 17:05:22,1023644937,B,B,99,99,99,99,D,B,A,A,B,C,A,A,B,A,99,99,B,A
2022-10-08 13:51:06,1023645553,B,B,B,C,B,A,A,C,A,B,A,B,A,B,A,B,A,C,D,A
